champion,Matchup,Performance avg,Performance std,role,games,Matchup Role
Akali,Malphite,6.582589905746119,95.9319155092038,MID_LANE,38,TOP_LANE
Akali,Maokai,-4.833084400627771,103.43918179988935,MID_LANE,21,TOP_LANE
Akali,MonkeyKing,-10.662243743787796,91.46026429067683,MID_LANE,27,TOP_LANE
Akali,Mordekaiser,-11.57243641996611,111.78193761007611,MID_LANE,29,TOP_LANE
Akali,Neeko,-26.278587005529197,101.95288944717694,MID_LANE,18,TOP_LANE
Akali,Nocturne,13.73731578983338,92.66115357655318,MID_LANE,31,TOP_LANE
Akali,Olaf,-16.988883327535405,86.58607159578654,MID_LANE,32,TOP_LANE
Akali,Ornn,8.976238023724282,102.17969051895238,MID_LANE,193,TOP_LANE
Akali,Poppy,-2.103290108589584,89.39597185808921,MID_LANE,33,TOP_LANE
Akali,Renekton,-3.004691552592517,96.26525238846929,MID_LANE,282,TOP_LANE
Akali,Rumble,-7.568592355436432,95.50292842565462,MID_LANE,42,TOP_LANE
Akali,Ryze,9.210222175392678,93.19219897574258,MID_LANE,19,TOP_LANE
Akali,Sejuani,-6.892111832745345,96.55793180689024,MID_LANE,56,TOP_LANE
Akali,Sett,20.748810787128672,100.31447745358548,MID_LANE,79,TOP_LANE
Akali,Shen,-2.13601356266322,85.00828220105186,MID_LANE,29,TOP_LANE
Akali,Shyvana,-10.237273464927155,94.77094242190466,MID_LANE,10,TOP_LANE
Akali,Sion,6.416859254581366,108.96606993774786,MID_LANE,125,TOP_LANE
Akali,Sylas,4.201120729963156,116.32238308895282,MID_LANE,26,TOP_LANE
Akali,TahmKench,-5.747029980376862,111.29998543499363,MID_LANE,10,TOP_LANE
Akali,Tryndamere,15.739169827973505,100.51367750837599,MID_LANE,16,TOP_LANE
Akali,Urgot,0.5793709288942098,95.11375411788316,MID_LANE,52,TOP_LANE
Akali,Viego,0.6649031232228689,98.20576469068547,MID_LANE,30,TOP_LANE
Akali,Viktor,-4.514408561193468,82.07448109288815,MID_LANE,8,TOP_LANE
Akali,Vladimir,15.436916114371046,120.83552341545992,MID_LANE,43,TOP_LANE
Akali,Volibear,10.463501563125012,87.13292241267001,MID_LANE,23,TOP_LANE
Akali,Yone,25.709424449333223,105.60555665140406,MID_LANE,17,TOP_LANE
Akali,Aatrox,-12.006017536138776,99.48898588485675,TOP_LANE,81,TOP_LANE
Akali,Camille,-21.448920660126504,94.64740979419115,TOP_LANE,65,TOP_LANE
Akali,Chogath,42.54400432635606,101.24689102700614,TOP_LANE,6,TOP_LANE
Akali,Darius,-66.67084349907631,23.57830367694336,TOP_LANE,6,TOP_LANE
Akali,Fiora,8.682613525800834,109.74626385755244,TOP_LANE,18,TOP_LANE
Akali,Gangplank,-35.946254194349486,82.62323121906581,TOP_LANE,38,TOP_LANE
Akali,Gnar,-6.446559497280579,92.29303451744912,TOP_LANE,96,TOP_LANE
Akali,Gragas,7.336538201122339,99.59998377345133,TOP_LANE,36,TOP_LANE
Akali,Graves,-4.835890603052597,84.29867773616132,TOP_LANE,21,TOP_LANE
Akali,Gwen,15.311407497548526,101.45075421767069,TOP_LANE,177,TOP_LANE
Akali,Hecarim,96.67220639856767,105.5824097791488,TOP_LANE,7,TOP_LANE
Akali,Irelia,8.623754163455759,107.527302009306,TOP_LANE,21,TOP_LANE
Akali,Jax,-15.588814619385284,103.26399105719648,TOP_LANE,15,TOP_LANE
