,id,rel_rate,games,winrate,name,role,patch
167,Mordekaiser-BOT_LANE-5.18,-1000.0,4,1.0,Mordekaiser,BOT_LANE,5.18
168,Varus-MID_LANE-5.18,-1000.0,1,0.0,Varus,MID_LANE,5.18
169,Lulu-TOP_LANE-5.18,-44.86855461783019,8,0.625,Lulu,TOP_LANE,5.18
170,Anivia-MID_LANE-5.18,-14.129319142049235,6,0.6666666666666666,Anivia,MID_LANE,5.18
171,Bard-UTILITY-5.18,-1000.0,2,0.0,Bard,UTILITY,5.18
172,TahmKench-UTILITY-5.18,9.701112145249757,14,0.7142857142857143,TahmKench,UTILITY,5.18
173,Olaf-JUNGLE-5.18,-1000.0,1,0.0,Olaf,JUNGLE,5.18
174,Diana-MID_LANE-5.18,-11.837468283986667,4,0.5,Diana,MID_LANE,5.18
175,Brand-UTILITY-5.18,-1000.0,1,0.0,Brand,UTILITY,5.18
176,Nunu-JUNGLE-5.18,-1000.0,1,0.0,Nunu,JUNGLE,5.18
177,Kennen-UTILITY-5.18,1.81152957623457,6,0.5,Kennen,UTILITY,5.18
178,Shen-TOP_LANE-5.18,-1000.0,1,1.0,Shen,TOP_LANE,5.18
179,Yasuo-TOP_LANE-5.18,-1000.0,1,0.0,Yasuo,TOP_LANE,5.18
180,Blitzcrank-UTILITY-5.18,-1000.0,1,0.0,Blitzcrank,UTILITY,5.18
181,Kennen-TOP_LANE-5.18,-4.220682008738307,5,0.4,Kennen,TOP_LANE,5.18
182,Ekko-JUNGLE-5.18,-1000.0,1,0.0,Ekko,JUNGLE,5.18
183,Yasuo-MID_LANE-5.18,-41.46965934906354,5,0.4,Yasuo,MID_LANE,5.18
184,Leona-UTILITY-5.18,-1000.0,1,1.0,Leona,UTILITY,5.18
185,Lissandra-TOP_LANE-5.18,-1000.0,1,0.0,Lissandra,TOP_LANE,5.18
186,Ekko-TOP_LANE-5.18,5.761215981252502,3,0.6666666666666666,Ekko,TOP_LANE,5.18
187,Draven-BOT_LANE-5.18,-1000.0,1,1.0,Draven,BOT_LANE,5.18
188,Morgana-MID_LANE-5.18,-1000.0,1,0.0,Morgana,MID_LANE,5.18
189,Lissandra-MID_LANE-5.18,33.88886139169651,3,0.6666666666666666,Lissandra,MID_LANE,5.18
190,Lucian-BOT_LANE-5.18,-1000.0,1,1.0,Lucian,BOT_LANE,5.18
191,Evelynn-JUNGLE-5.18,-24.19705775948388,4,0.25,Evelynn,JUNGLE,5.18
192,Karthus-MID_LANE-5.18,-1000.0,1,1.0,Karthus,MID_LANE,5.18
193,Syndra-MID_LANE-5.18,-1000.0,1,0.0,Syndra,MID_LANE,5.18
194,Janna-UTILITY-5.18,23.459784101799944,3,0.6666666666666666,Janna,UTILITY,5.18
195,Graves-BOT_LANE-5.18,-1000.0,1,1.0,Graves,BOT_LANE,5.18
196,Hecarim-JUNGLE-5.18,-1000.0,1,0.0,Hecarim,JUNGLE,5.18
197,Kennen-BOT_LANE-5.18,18.543608715011278,5,0.6,Kennen,BOT_LANE,5.18
198,Twitch-BOT_LANE-5.18,-1000.0,1,0.0,Twitch,BOT_LANE,5.18
199,Caitlyn-BOT_LANE-5.18,6.582771483868541,5,0.6,Caitlyn,BOT_LANE,5.18
200,Irelia-TOP_LANE-5.18,-1000.0,1,0.0,Irelia,TOP_LANE,5.18
201,Jayce-BOT_LANE-5.18,-1000.0,1,0.0,Jayce,BOT_LANE,5.18
202,JarvanIV-TOP_LANE-5.18,-1000.0,1,1.0,JarvanIV,TOP_LANE,5.18
203,Cassiopeia-MID_LANE-5.18,-1000.0,1,0.0,Cassiopeia,MID_LANE,5.18
204,Zac-JUNGLE-5.18,-1000.0,2,1.0,Zac,JUNGLE,5.18
205,Nautilus-UTILITY-5.18,-1000.0,1,0.0,Nautilus,UTILITY,5.18
206,Corki-MID_LANE-6.21,-1000.0,1,0.0,Corki,MID_LANE,6.21
207,Syndra-MID_LANE-6.21,34.10029437000311,7,0.5714285714285714,Syndra,MID_LANE,6.21
208,Janna-UTILITY-6.21,-1000.0,1,0.0,Janna,UTILITY,6.21
209,Braum-UTILITY-6.21,-2.357172477588927,7,0.5714285714285714,Braum,UTILITY,6.21
210,Olaf-JUNGLE-6.21,21.72202639638624,16,0.5,Olaf,JUNGLE,6.21
211,Jhin-BOT_LANE-6.21,-22.46424156338009,26,0.46153846153846156,Jhin,BOT_LANE,6.21
212,RekSai-JUNGLE-6.21,22.03780916546426,10,0.6,RekSai,JUNGLE,6.21
213,Jayce-TOP_LANE-6.21,15.643132692038485,8,0.75,Jayce,TOP_LANE,6.21
214,Rumble-TOP_LANE-6.21,13.236982311163617,6,0.5,Rumble,TOP_LANE,6.21
215,Ezreal-BOT_LANE-6.21,27.146734490491543,5,0.4,Ezreal,BOT_LANE,6.21
216,Vladimir-MID_LANE-6.21,6.813821991051432,6,0.6666666666666666,Vladimir,MID_LANE,6.21
217,Varus-MID_LANE-6.21,-1000.0,1,0.0,Varus,MID_LANE,6.21
218,Karma-UTILITY-6.21,-6.7859100614797425,15,0.4,Karma,UTILITY,6.21
219,Nidalee-JUNGLE-6.21,-1000.0,1,1.0,Nidalee,JUNGLE,6.21
220,Ashe-BOT_LANE-6.21,-10.79855347972158,20,0.55,Ashe,BOT_LANE,6.21
221,Elise-JUNGLE-6.21,-11.607948917275266,14,0.5714285714285714,Elise,JUNGLE,6.21
222,Trundle-TOP_LANE-6.21,-11.426635360091575,8,0.25,Trundle,TOP_LANE,6.21
223,Poppy-TOP_LANE-6.21,-1.6012159668885708,15,0.6,Poppy,TOP_LANE,6.21
224,Cassiopeia-MID_LANE-6.21,36.765251190104074,10,0.8,Cassiopeia,MID_LANE,6.21
225,Ryze-MID_LANE-6.21,1.1204253441168248,8,0.5,Ryze,MID_LANE,6.21
226,Zyra-UTILITY-6.21,19.72744839525273,11,0.45454545454545453,Zyra,UTILITY,6.21
227,Orianna-MID_LANE-6.21,-16.47183002791474,7,0.2857142857142857,Orianna,MID_LANE,6.21
228,MissFortune-UTILITY-6.21,16.195233111668447,2,0.5,MissFortune,UTILITY,6.21
229,LeeSin-JUNGLE-6.21,-29.373588666372335,22,0.4090909090909091,LeeSin,JUNGLE,6.21
230,Nautilus-TOP_LANE-6.21,-1000.0,1,1.0,Nautilus,TOP_LANE,6.21
231,Varus-BOT_LANE-6.21,17.213146413050147,6,0.6666666666666666,Varus,BOT_LANE,6.21
232,Alistar-UTILITY-6.21,8.91113582871736,3,0.6666666666666666,Alistar,UTILITY,6.21
233,Caitlyn-BOT_LANE-6.21,-15.690899401981417,6,0.5,Caitlyn,BOT_LANE,6.21
234,Viktor-MID_LANE-6.21,-9.071157007099751,11,0.2727272727272727,Viktor,MID_LANE,6.21
235,Kennen-TOP_LANE-6.21,-41.49922897284814,10,0.4,Kennen,TOP_LANE,6.21
236,Thresh-UTILITY-6.21,33.609836459362626,5,0.8,Thresh,UTILITY,6.21
237,Ekko-TOP_LANE-6.21,27.55852777580046,9,0.6666666666666666,Ekko,TOP_LANE,6.21
238,MissFortune-BOT_LANE-6.21,-1000.0,1,0.0,MissFortune,BOT_LANE,6.21
239,Bard-UTILITY-6.21,-9.603388738124151,3,0.3333333333333333,Bard,UTILITY,6.21
240,Fiora-TOP_LANE-6.21,-1000.0,1,0.0,Fiora,TOP_LANE,6.21
241,Zilean-MID_LANE-6.21,0.9805210733024945,2,0.5,Zilean,MID_LANE,6.21
242,TahmKench-UTILITY-6.21,3.6276619290080268,5,0.6,TahmKench,UTILITY,6.21
243,Nami-UTILITY-6.21,6.587742460709908,9,0.4444444444444444,Nami,UTILITY,6.21
244,Karma-MID_LANE-6.21,16.726456415530908,2,0.5,Karma,MID_LANE,6.21
245,Leona-UTILITY-6.21,-1000.0,1,0.0,Leona,UTILITY,6.21
